itemLabel,jardueraLabel,sexua_edo_generoaLabel,jaiolekuaLabel,irudia,jaiotza_data
Oskar Artetxe,futbolari,gizonezkoa,Eibar,,1966-12-18T00:00:00Z
Mercedes Kareaga,ekintzaile,emakumezkoa,Eibar,http://commons.wikimedia.org/wiki/Special:FilePath/Batzoki%20de%20Eibar%2C%20de%20Indalecio%20Ojanguren%2C%20GipuzkoaKultura%20-%20Guregipuzkoa%20%28detalle%20de%20Mercedes%20Careaga%29.jpg,1908-12-15T00:00:00Z
Mikel Iriondo,idazle,gizonezkoa,Eibar,,1955-01-01T00:00:00Z
Mikel Iriondo,politikari,gizonezkoa,Eibar,,1955-01-01T00:00:00Z
Mikel Iriondo,unibertsitateko irakasle,gizonezkoa,Eibar,,1955-01-01T00:00:00Z
Sara Bilbatua,psikologo,emakumezkoa,Eibar,,1958-08-21T00:00:00Z
Wenceslao Orbea,abokatu,gizonezkoa,Eibar,,1900-01-01T00:00:00Z
Wenceslao Orbea,politikari,gizonezkoa,Eibar,,1900-01-01T00:00:00Z
Maider Castillo,futbolari,emakumezkoa,Eibar,,1976-08-03T00:00:00Z
Sonia López,futbolari,emakumezkoa,Eibar,,1983-11-03T00:00:00Z
Bitor Lekunberri,politikari,gizonezkoa,Eibar,,1913-03-25T00:00:00Z
Ibon Uzkudun,aktore,gizonezkoa,Eibar,,1973-10-23T00:00:00Z
Ibon Uzkudun,telebista aurkezle,gizonezkoa,Eibar,,1973-10-23T00:00:00Z
Ignacio Soroeta,gudari,gizonezkoa,Eibar,,1901-01-01T00:00:00Z
Ignacio Soroeta,politikari,gizonezkoa,Eibar,,1901-01-01T00:00:00Z
Jacinto Olabe,margolari,gizonezkoa,Eibar,http://commons.wikimedia.org/wiki/Special:FilePath/%E2%80%9CAutorretratua%E2%80%9D%2C%20Jazinto%20Olabe.jpg,1877-01-01T00:00:00Z
Jesús Castro,saskibaloi jokalari,gizonezkoa,Eibar,,1983-05-29T00:00:00Z
José Miguel Marcos,eskubaloi jokalari,gizonezkoa,Eibar,,1974-01-01T00:00:00Z
Julian Etxeberria,irakasle,gizonezkoa,Eibar,,1875-01-09T00:00:00Z
Julian Etxeberria,armagile,gizonezkoa,Eibar,,1875-01-09T00:00:00Z
Lucas Alberdi,margolari,gizonezkoa,Eibar,,1906-10-18T00:00:00Z
Lucas Alberdi,eskultore,gizonezkoa,Eibar,,1906-10-18T00:00:00Z
Pedro Basauri,aktore,gizonezkoa,Eibar,,1893-11-30T00:00:00Z
Pedro Basauri,toreatzaile,gizonezkoa,Eibar,,1893-11-30T00:00:00Z
Romualdo Galdos,idazle,gizonezkoa,Eibar,,1885-02-07T00:00:00Z
Tachia Quintanar,aktore,emakumezkoa,Eibar,,1929-01-01T00:00:00Z
